from,to,auc_gap,ext_auc,int_auc,dt_score,dt_abs,dt_alignment,bn_score,bn_batch,bn_interaction,geodesic
PL079,PL080,0.20277777777777778,0.4305555555555555,0.6333333333333333,-0.11331853644415615,0.11331853644415615,-0.0114783437296003,0.14787614342968472,9.924469075615164,1.4675922124892864,3.070499714904832
PL079,PL081,0.04717514124293787,0.5861581920903954,0.6333333333333333,-0.44617753521944986,0.44617753521944986,-0.10925016439295855,0.2632031670072895,4.087286792255277,1.0757868281889176,2.846279769995086
PL079,PL082,0.0708333333333333,0.5625,0.6333333333333333,1.7920584526357604,1.7920584526357604,0.15034203825385803,0.10465110965841168,12.250417316517144,1.2820197659522456,2.78046779153138
PL079,PL083,0.1972222222222222,0.4361111111111111,0.6333333333333333,-0.4196419626046119,0.4196419626046119,-0.08213686076351383,0.2539693799914155,5.310235025612875,1.3486370970638542,2.722545284923593
PL079,PL084,0.04583333333333328,0.5875,0.6333333333333333,0.8140847719506332,0.8140847719506332,0.06920163408811765,0.1337042360467218,11.918906234231049,1.593608252560506,2.9765754040662427
PL079,PL085,0.15310734463276832,0.480225988700565,0.6333333333333333,0.20099402515220707,0.20099402515220707,0.03681514273292366,0.23593558274385654,5.862388708628729,1.3831460962415598,3.019683267106627
PL079,PL086,0.056944444444444464,0.5763888888888888,0.6333333333333333,-0.1912781619010267,0.1912781619010267,-0.01855326547942456,0.13007452951249826,10.662323939583304,1.3868967699512753,2.718060695668964
PL079,PL087,-0.08750000000000002,0.7208333333333333,0.6333333333333333,-0.3169549205413784,0.3169549205413784,-0.047127356830502176,0.18815477404653444,6.8941342405764745,1.297164270282331,2.4853126213554146
PL079,PL088,0.19444444444444442,0.4388888888888889,0.6333333333333333,0.9086606433918359,0.9086606433918359,0.08691103599398259,0.1539382958591741,10.931724792833997,1.6828110854105025,2.9322992028745256
PL079,PL089,0.06805555555555554,0.5652777777777778,0.6333333333333333,-0.26826534447275613,0.26826534447275613,-0.05242276456249692,0.2358295582962683,5.376347343589467,1.2679016192862553,2.617638871247614
PL079,PL090,0.07638888888888884,0.5569444444444445,0.6333333333333333,-1.068765245781781,1.068765245781781,-0.10001150975395685,0.11861891119619715,10.838502137943015,1.2856513226005741,2.6700671070831308
PL079,PL091,0.08050314465408803,0.5528301886792453,0.6333333333333333,-0.30635507695326575,0.30635507695326575,-0.04517506904891597,0.21265741143943448,7.129882318285163,1.5162223176745295,2.7965997620484733
PL079,PL092,0.09583333333333333,0.5375,0.6333333333333333,-1.3986573371941473,1.3986573371941473,-0.16362527360727108,0.15857462231362948,8.661991157616676,1.3735719763032213,2.8630809968918434
PL079,PL093,-0.048299319727891143,0.6816326530612244,0.6333333333333333,-0.00764861732138214,0.00764861732138214,-0.0008878582010763342,0.1753755529229457,8.737981627962293,1.5324283594346038,3.1209890494339168
PL080,PL079,0.2138888888888889,0.3833333333333333,0.5972222222222222,0.4396323694311125,0.4396323694311125,0.04453156217275844,0.14787614342968472,9.924469075615164,1.4675922124892864,3.0704997149048325
PL080,PL081,0.035075329566854996,0.5621468926553672,0.5972222222222222,0.44337930185832714,0.44337930185832714,0.050177786565580786,0.16455152496288916,8.87810018204076,1.4609049237282754,2.8942660147782853
PL080,PL082,0.04999999999999993,0.5472222222222223,0.5972222222222222,0.1558784998460105,0.1558784998460105,0.02881335166444278,0.2681576765683315,5.752464169919648,1.5425674263484968,2.8836221743367627
PL080,PL083,0.040277777777777746,0.5569444444444445,0.5972222222222222,0.754016198320228,0.754016198320228,0.08537363696723677,0.1247296990329635,8.810744970352257,1.0989615684083587,2.892103872461237
PL080,PL084,-0.03888888888888886,0.6361111111111111,0.5972222222222222,0.375026023596027,0.375026023596027,0.058125868048239916,0.31092988795393894,6.823166722820949,2.1215264646180736,3.240775017893349
PL080,PL085,0.17066854990583802,0.4265536723163842,0.5972222222222222,-0.9820292039446062,0.9820292039446062,-0.11052800495441252,0.17108087608305717,8.781809884763067,1.502399728680288,3.086876624921181
PL080,PL086,0.0625,0.5347222222222222,0.5972222222222222,0.06849621379500859,0.06849621379500859,0.012309047558910099,0.27001336329824654,5.572528759060582,1.504657232310422,3.1071147438098383
PL080,PL087,0.2041666666666666,0.3930555555555556,0.5972222222222222,-0.3435755861654949,0.3435755861654949,-0.03733577433262887,0.20465495099167674,9.092324158866447,1.8607891551334559,2.971196729101387
PL080,PL088,0.22083333333333327,0.37638888888888894,0.5972222222222222,0.6451733457033453,0.6451733457033453,0.11034248722344053,0.3193878834238711,5.926538402676659,1.8928645564615072,2.948467175224672
PL080,PL089,0.14166666666666666,0.45555555555555555,0.5972222222222222,0.38743878462961956,0.38743878462961956,0.04409287745489721,0.17345078620518226,8.751016098990148,1.5178706224642216,3.17642942521081
PL080,PL090,-0.018055555555555602,0.6152777777777778,0.5972222222222222,0.5728838777957536,0.5728838777957536,0.10788709420060683,0.2509587541758862,5.353934763933484,1.3436167982959657,3.074585556176409
PL080,PL091,0.13873165618448635,0.45849056603773586,0.5972222222222222,-0.735458939470762,0.735458939470762,-0.07839839308831961,0.16226614420260968,9.380773416338831,1.5221819319078065,3.0289445584091808
PL080,PL092,-0.009722222222222299,0.6069444444444445,0.5972222222222222,-0.9608660322237604,0.9608660322237604,-0.15082196155053315,0.25055553771579103,6.463227683651815,1.6193974876572177,3.16905245851228
PL080,PL093,-0.16196145124716554,0.7591836734693878,0.5972222222222222,-1.4445717211120455,1.4445717211120455,-0.1993145016170372,0.24117477000936344,7.09186692111399,1.7103793736369202,3.431509570506597
PL081,PL079,0.01868686868686853,0.5305555555555557,0.5492424242424242,-0.1715152010312442,0.1715152010312442,-0.04199687888664891,0.2632031670072895,4.087286792255277,1.0757868281889176,2.846279769995086
PL081,PL080,-0.03686868686868683,0.586111111111111,0.5492424242424242,1.9581353438518463,1.9581353438518463,0.2216046101802773,0.16455152496288916,8.87810018204076,1.4609049237282754,2.8942660147782853
PL081,PL082,0.017297979797979757,0.5319444444444444,0.5492424242424242,2.29073546884353,2.29073546884353,0.20519870389487704,0.11547776356065334,11.554369934917696,1.3342727994368628,3.102760890859159
PL081,PL083,0.029797979797979712,0.5194444444444445,0.5492424242424242,0.38113254332112934,0.38113254332112934,0.09938183305070897,0.36148801385517126,4.095007969728135,1.4802962976984824,2.750873894137164
PL081,PL084,-0.1646464646464646,0.7138888888888888,0.5492424242424242,1.0463842896375204,1.0463842896375204,0.09668568349785252,0.1478965754982168,10.877191571267817,1.608699384428726,3.201981673422502
PL081,PL085,0.12127632254750897,0.4279661016949152,0.5492424242424242,0.8108121209652681,0.8108121209652681,0.20110767880547,0.37869635166963633,4.523578228271294,1.7130625715389152,2.95392166960467
PL081,PL086,0.0492424242424242,0.5,0.5492424242424242,-1.2621542151512883,1.2621542151512883,-0.1342917947177986,0.14781769697017788,9.693593334471997,1.4328846420672656,3.022183258522335
PL081,PL087,0.014520202020201989,0.5347222222222222,0.5492424242424242,-0.9067480039250608,0.9067480039250608,-0.16718056723677424,0.25886143853846705,5.708680124399739,1.4777571491583301,2.9987833178378667
PL081,PL088,0.07563131313131305,0.47361111111111115,0.5492424242424242,0.3667143336824774,0.3667143336824774,0.038826037437767275,0.18992499124027196,9.792905732607794,1.8599175354825344,2.9254326253211898
PL081,PL089,0.15202020202020194,0.39722222222222225,0.5492424242424242,0.2894432976834644,0.2894432976834644,0.07541692386799191,0.35219630106116206,4.247162760751506,1.4958350143417458,2.9987176315820268
PL081,PL090,0.03952020202020201,0.5097222222222222,0.5492424242424242,0.8491711721028075,0.8491711721028075,0.08874030630411744,0.1353034990889659,9.694350125810889,1.3116794934159055,2.9007995579981127
PL081,PL091,0.02471412235563175,0.5245283018867924,0.5492424242424242,-0.539758340014123,0.539758340014123,-0.1027225842973764,0.28746544180712363,5.827139967188417,1.6751013651400537,2.8224534164664306
PL081,PL092,-0.08825757575757576,0.6375,0.5492424242424242,0.8986046529602288,0.8986046529602288,0.12067053068395779,0.1822355902125928,7.512149880077164,1.3689810671615026,3.045365038282007
PL081,PL093,0.07985466914038342,0.4693877551020408,0.5492424242424242,-0.5524538786327775,0.5524538786327775,-0.07268200962310097,0.22845693795883815,7.734593221341252,1.767021483705037,3.092513994597735
PL082,PL079,0.06111111111111117,0.42777777777777776,0.48888888888888893,-1.63123612894237,1.63123612894237,-0.13685009221536554,0.10465110965841168,12.250417316517144,1.2820197659522456,2.78046779153138
PL082,PL080,-0.09305555555555545,0.5819444444444444,0.48888888888888893,0.27408667945465626,0.27408667945465626,0.05066353531415858,0.2681576765683315,5.752464169919648,1.5425674263484968,2.883622174336763
PL082,PL081,-0.21026365348399234,0.6991525423728813,0.48888888888888893,2.53769400269163,2.53769400269163,0.22732066941671564,0.11547776356065334,11.554369934917696,1.3342727994368628,3.102760890859159
PL082,PL083,-0.1444444444444445,0.6333333333333334,0.48888888888888893,0.8728441169243719,0.8728441169243719,0.07859675858544106,0.13223634376003154,11.427570454222534,1.511140134926683,2.806223271803198
PL082,PL084,-0.22916666666666663,0.7180555555555556,0.48888888888888893,1.6313693277765962,1.6313693277765962,0.2410650500054784,0.2416156149869094,7.088025861023191,1.712577727454478,3.0184708383518517
PL082,PL085,-0.053483992467043384,0.5423728813559323,0.48888888888888893,1.17447944598498,1.17447944598498,0.10653050871748408,0.13423131692678372,11.265524704293663,1.5121862169286884,3.113800969825729
PL082,PL086,-0.18055555555555547,0.6694444444444444,0.48888888888888893,0.057221228161139503,0.057221228161139503,0.00996094515699522,0.19502728973184366,5.951047513412537,1.1606166676064698,2.7319998652435333
