from,to,geodesic,chordal,centroid_dist,auc_gap,int_auc,ext_auc,auc_gap_rf,int_auc_rf,ext_auc_rf
AT-CRC,CN-CRC,3.4934000866455026,3.7441025288440204,32.53233470305148,0.1804558404558404,0.948974358974359,0.7685185185185186,0.179075614075614,0.8712678062678062,0.6921921921921922
AT-CRC,DE-CRC,3.5214265834022505,3.712640502368605,23.888081779727635,0.146474358974359,0.948974358974359,0.8025,0.23682336182336183,0.8712678062678062,0.6344444444444444
AT-CRC,FR-CRC,3.3651994557174936,3.655698993916712,20.133353837702373,0.18466876045904812,0.948974358974359,0.7643055985153109,0.1697521861007787,0.8712678062678062,0.7015156201670275
AT-CRC,IT-CRC,3.784716640883452,3.9320137943994107,37.09016607949996,0.22914677276746254,0.948974358974359,0.7198275862068965,0.23189999017585217,0.8712678062678062,0.639367816091954
AT-CRC,IT-CRC-2,3.586088927003451,3.8402655481970154,19.68182612016884,0.183349358974359,0.948974358974359,0.765625,0.1636785205535204,0.8712678062678062,0.7075892857142858
AT-CRC,JP-CRC,3.5258277769784345,3.8310991228586238,35.67394647838426,0.22522435897435888,0.948974358974359,0.7237500000000001,0.15126780626780623,0.8712678062678062,0.72
AT-CRC,US-CRC,3.6470169430716797,3.827190087439791,28.713117621977354,0.31509861932938865,0.948974358974359,0.6338757396449703,0.2558831908831909,0.8712678062678062,0.6153846153846153
AT-CRC,US-CRC-2,3.7231403964099483,3.953866326963735,33.82918172352735,0.40178048142333855,0.948974358974359,0.5471938775510204,0.36361474504331637,0.8712678062678062,0.5076530612244898
CN-CRC,AT-CRC,3.4934000866455026,3.7441025288440204,32.53233470305148,0.06213237969759711,0.8009177489177489,0.7387853692201518,0.12867256415082495,0.8374372294372294,0.7087646652864045
CN-CRC,DE-CRC,3.485306831636145,3.772500271713387,34.853629664533685,-0.04130447330447329,0.8009177489177489,0.8422222222222222,0.0343816738816739,0.8374372294372294,0.8030555555555555
CN-CRC,FR-CRC,3.338649932529832,3.678360306149986,30.351306371609247,0.0038252651565363616,0.8009177489177489,0.7970924837612126,0.02333268257672838,0.8374372294372294,0.814104546860501
