from,to,geodesic,centroid_dist,auc_gap,int_auc,ext_auc
Feng_2015,Thomas_2019,3.441930821313592,22.995466848197392,0.17508360188688032,0.9253988603988603,0.75031525851198
Feng_2015,Vogtmann_2016,3.5848724657848003,29.800846453241103,0.29817992548761774,0.9253988603988603,0.6272189349112426
Feng_2015,Wirbel_2019,3.4158812201337216,25.273343172427072,0.11150997150997133,0.9253988603988603,0.813888888888889
Feng_2015,Yachida_2019,3.1923437692400385,35.33333158041456,0.3099306632573564,0.9253988603988603,0.6154681971415039
Feng_2015,Yu_2017,3.452382145994532,31.61176530894486,0.18515862015862006,0.9253988603988603,0.7402402402402403
Thomas_2019,Feng_2015,3.441930821313592,22.995466848197392,0.0053603401429489494,0.7596736596736597,0.7543133195307108
Thomas_2019,Vogtmann_2016,3.5289144360085305,24.783673618477057,0.13504348215886686,0.7596736596736597,0.6246301775147929
Thomas_2019,Wirbel_2019,3.416951895265185,21.24353697887681,0.0632847707847708,0.7596736596736597,0.696388888888889
Thomas_2019,Yachida_2019,3.124462517025192,28.330377799181377,0.10823744648445843,0.7596736596736597,0.6514362131892013
Thomas_2019,Yu_2017,3.4163672573949886,27.8968672736733,-0.001587601587601628,0.7596736596736597,0.7612612612612614
Vogtmann_2016,Feng_2015,3.5848724657848012,29.800846453241103,-0.09218897044984009,0.6272727272727272,0.7194616977225673
Vogtmann_2016,Thomas_2019,3.5289144360085305,24.783673618477057,-0.042336352172417824,0.6272727272727272,0.669609079445145
Vogtmann_2016,Wirbel_2019,3.454921618933822,22.486544540143736,-0.0980050505050506,0.6272727272727272,0.7252777777777778
Vogtmann_2016,Yachida_2019,3.1406292915519343,36.097746887100044,-0.03611567715153374,0.6272727272727272,0.663388404424261
Vogtmann_2016,Yu_2017,3.5095292958309403,32.83550878016741,-0.09645099645099653,0.6272727272727272,0.7237237237237237
Wirbel_2019,Feng_2015,3.415881220133722,25.273343172427072,0.14977570738440305,0.9472222222222223,0.7974465148378193
Wirbel_2019,Thomas_2019,3.416951895265185,21.24353697887681,0.22843281490822476,0.9472222222222223,0.7187894073139975
Wirbel_2019,Vogtmann_2016,3.454921618933822,22.486544540143736,0.24308021038790284,0.9472222222222223,0.7041420118343195
Wirbel_2019,Yachida_2019,3.202803851312068,40.666246934957094,0.29167657265266833,0.9472222222222223,0.655545649569554
Wirbel_2019,Yu_2017,3.492255550192907,35.75836265089601,0.08360860860860864,0.9472222222222223,0.8636136136136137
Yachida_2019,Feng_2015,3.192343769240039,35.33333158041456,0.19765382147493266,0.6859215923513992,0.4882677708764665
Yachida_2019,Thomas_2019,3.124462517025191,28.330377799181377,0.10994429096426173,0.6859215923513992,0.5759773013871374
Yachida_2019,Vogtmann_2016,3.140629291551934,36.097746887100044,0.14006360418571873,0.6859215923513992,0.5458579881656804
Yachida_2019,Wirbel_2019,3.202803851312067,40.666246934957094,0.2081438145736214,0.6859215923513992,0.47777777777777775
Yachida_2019,Yu_2017,2.9761235737197476,23.565326789428443,0.059545215975022714,0.6859215923513992,0.6263763763763764
Yu_2017,Feng_2015,3.452382145994533,31.61176530894486,0.06640868310433523,0.7907012987012987,0.7242926155969635
Yu_2017,Thomas_2019,3.4163672573949886,27.8968672736733,0.13622462783118516,0.7907012987012987,0.6544766708701135
Yu_2017,Vogtmann_2016,3.5095292958309408,32.83550878016741,0.10800899100899097,0.7907012987012987,0.6826923076923077
Yu_2017,Wirbel_2019,3.492255550192907,35.75836265089601,-0.00013203463203459442,0.7907012987012987,0.7908333333333333
Yu_2017,Yachida_2019,2.976123573719747,23.565326789428443,0.1743276325268357,0.7907012987012987,0.616373666174463
