from,to,geodesic,centroid_dist,auc_gap,int_auc,ext_auc
Franzosa_2019,HMP2,3.273256484719842,26.070309481074794,0.12490861411315946,0.9104855371900825,0.7855769230769231
Franzosa_2019,He_2017,3.4700804901195528,28.727278436014988,-0.03098539080375662,0.9104855371900825,0.9414709279938391
Franzosa_2019,Lewis_2015,3.328040093985848,27.30302581757419,0.054037573389177584,0.9104855371900825,0.8564479638009049
Franzosa_2019,metaHIT,3.047292954358954,38.800278792707545,0.13634601305055827,0.9104855371900825,0.7741395241395242
HMP2,Franzosa_2019,3.2732564847198424,26.070309481074794,-0.13123112659698022,0.7433333333333334,0.8745644599303136
HMP2,He_2017,3.754625535245156,27.617133460225745,-0.20545372866127576,0.7433333333333334,0.9487870619946092
HMP2,Lewis_2015,3.3570014197233213,22.41888959862879,-0.12510558069381594,0.7433333333333334,0.8684389140271493
HMP2,metaHIT,3.486276714827179,43.782547968499685,0.02642411642411646,0.7433333333333334,0.7169092169092169
He_2017,Franzosa_2019,3.4700804901195523,28.727278436014988,0.1126024707000316,0.9889090909090908,0.8763066202090593
He_2017,HMP2,3.7546255352451565,27.617133460225745,0.18746678321678312,0.9889090909090908,0.8014423076923077
He_2017,Lewis_2015,3.502950623253584,26.942641272841964,0.08302673796791438,0.9889090909090908,0.9058823529411765
He_2017,metaHIT,3.53407639782455,46.775024894805064,0.35354295554295545,0.9889090909090908,0.6353661353661354
Lewis_2015,Franzosa_2019,3.3280400939858477,27.30302581757419,0.16399825783972122,0.99,0.8260017421602788
Lewis_2015,HMP2,3.3570014197233213,22.41888959862879,0.30201923076923076,0.99,0.6879807692307692
Lewis_2015,He_2017,3.502950623253584,26.942641272841964,0.04891413169041203,0.99,0.941085868309588
Lewis_2015,metaHIT,3.628142779942806,55.80316523813288,0.2865754215754215,0.99,0.7034245784245785
metaHIT,Franzosa_2019,3.047292954358954,38.800278792707545,0.12536090946112677,0.9466805958722766,0.8213196864111498
metaHIT,HMP2,3.486276714827179,43.782547968499685,0.21446905741073807,0.9466805958722766,0.7322115384615385
metaHIT,He_2017,3.53407639782455,46.775024894805064,0.1399805573663082,0.9466805958722766,0.8067000385059684
metaHIT,Lewis_2015,3.6281427799428063,55.80316523813288,0.0952100076369824,0.9466805958722766,0.8514705882352942
