plate_1,plate_2,n_1,n_2,geodesic_dist,mean_angle_deg,max_angle_deg,min_angle_deg,external_auc_fwd,external_auc_rev,internal_auc,auc_gap
PL079,PL080,72,72,3.4926996560451156,60.62959804839718,84.61779846637822,29.22598784096485,0.36944444444444446,0.4194444444444445,0.6333333333333333,0.26388888888888884
PL079,PL081,72,71,3.6288875319745713,62.226704459842814,89.71096334164886,26.939783280544056,0.5988700564971752,0.5208333333333334,0.6333333333333333,0.03446327683615813
PL079,PL082,72,72,3.687731892603898,63.81067815110522,89.33493378829193,30.360784395586894,0.4805555555555555,0.4736111111111111,0.6333333333333333,0.1527777777777778
PL079,PL083,72,72,3.648965481285566,62.9866322273853,89.21919188112075,28.050688465220453,0.42083333333333334,0.4222222222222222,0.6333333333333333,0.21249999999999997
PL079,PL084,72,72,3.6872329621873723,64.09517777401427,88.8234111661968,32.32665742541984,0.6000000000000001,0.6124999999999999,0.6333333333333333,0.033333333333333215
PL079,PL085,72,71,3.7046209483401165,64.31203201434167,87.1497911987912,28.294218796929595,0.45480225988700573,0.47638888888888886,0.6333333333333333,0.17853107344632757
PL079,PL086,72,72,3.670064893877875,63.57319570566828,89.59082136251,30.26990461624498,0.5291666666666667,0.4833333333333334,0.6333333333333333,0.10416666666666663
PL079,PL087,72,72,3.6144493893613325,62.53644358168185,89.08409604384195,32.94457295898827,0.7541666666666667,0.7152777777777778,0.6333333333333333,-0.12083333333333335
PL079,PL088,72,72,3.7874226791426664,66.0696459715039,89.04613518079904,33.09545130351426,0.5541666666666667,0.4611111111111111,0.6333333333333333,0.07916666666666661
PL079,PL089,72,72,3.673271463388618,63.69105617333056,87.04691621411176,29.6271258260189,0.5736111111111111,0.3569444444444444,0.6333333333333333,0.05972222222222223
PL079,PL090,72,72,3.736212867443654,64.81206777415791,89.398280638375,31.3200075305576,0.5027777777777778,0.5222222222222224,0.6333333333333333,0.13055555555555554
PL079,PL091,72,63,3.6472595272768045,62.95720216919584,87.146345930764,27.747822992534758,0.5584905660377358,0.5347222222222222,0.6333333333333333,0.07484276729559747
PL079,PL092,72,72,3.7108332220106743,64.43844004146669,89.9163152176449,31.809728637530686,0.5069444444444444,0.33472222222222225,0.6333333333333333,0.12638888888888888
PL079,PL093,72,42,3.749101926207912,65.76700880292651,87.60461116420325,36.42607267375869,0.5755102040816327,0.4236111111111111,0.6333333333333333,0.05782312925170063
PL080,PL081,72,71,3.4872479552992233,60.529747241862424,89.69130313729835,29.598821820963817,0.5621468926553672,0.6055555555555556,0.5972222222222222,0.035075329566854996
PL080,PL082,72,72,3.245412771049313,55.72354390903736,88.05334171472889,26.882121624092687,0.5361111111111112,0.5541666666666667,0.5972222222222222,0.061111111111111005
PL080,PL083,72,72,3.466045632596056,60.16423112196715,85.25466312228966,30.32978038753465,0.5666666666666667,0.5305555555555556,0.5972222222222222,0.030555555555555558
PL080,PL084,72,72,3.494952079383559,60.735060957831784,88.12156058082428,31.170237104809495,0.6347222222222222,0.5249999999999999,0.5972222222222222,-0.03749999999999998
PL080,PL085,72,71,3.720968598468268,64.4214045527433,88.67014233351705,30.517599968822623,0.4194915254237288,0.5152777777777777,0.5972222222222222,0.1777306967984934
PL080,PL086,72,72,3.476242150334069,60.030113963450844,89.51767971703849,29.432275452258065,0.5277777777777778,0.5916666666666666,0.5972222222222222,0.06944444444444442
PL080,PL087,72,72,3.5876529528026424,62.215959656039104,89.20107481170983,32.382114866030435,0.4013888888888889,0.39861111111111114,0.5972222222222222,0.1958333333333333
PL080,PL088,72,72,3.5614406332142536,61.750594089428844,89.86353970900103,31.242227303934364,0.3986111111111111,0.4513888888888889,0.5972222222222222,0.19861111111111113
PL080,PL089,72,72,3.6516052953258074,63.72303364813964,88.1675978326354,30.908252992448038,0.4305555555555556,0.4361111111111111,0.5972222222222222,0.16666666666666663
PL080,PL090,72,72,3.434915070381696,59.686616432936525,85.08518471123695,28.47912780010546,0.6263888888888889,0.7208333333333332,0.5972222222222222,-0.029166666666666674
PL080,PL091,72,63,3.6468827359359635,63.132969562140374,88.68397317211232,31.119116002235497,0.48867924528301887,0.49027777777777776,0.5972222222222222,0.10854297693920334
