from,to,geodesic,centroid_dist,auc_gap,int_auc,ext_auc
Columbia,Johns Hopkins,3.4098538604598003,10.804978846820855,-0.013887987012986991,0.8663203463203464,0.8802083333333334
Columbia,Other,3.460701210221941,10.229804136430712,0.014805194805194932,0.8663203463203464,0.8515151515151514
Columbia,U of Michigan,3.1203266728583676,8.576703448117305,-0.039254566571639726,0.8663203463203464,0.9055749128919861
Columbia,U of Utah,3.592288503557764,11.62447923502254,0.04114552114552117,0.8663203463203464,0.8251748251748252
Columbia,UCLA,3.3827891331308035,10.975952658124372,0.013542568542568634,0.8663203463203464,0.8527777777777777
Columbia,UCSF,3.4240193617144357,8.053040814488552,-0.026536796536796525,0.8663203463203464,0.8928571428571429
Columbia,Wake Forest University,3.351587058976569,11.38264674692642,0.03530182780182778,0.8663203463203464,0.8310185185185186
Johns Hopkins,Columbia,3.4098538604598003,10.804978846820855,-0.056813313560718504,0.8238095238095238,0.8806228373702423
Johns Hopkins,Other,3.613750917117459,8.071085203016333,-0.027705627705627678,0.8238095238095238,0.8515151515151514
Johns Hopkins,U of Michigan,3.4275907791558793,8.128810139637363,-0.07862950058072016,0.8238095238095238,0.9024390243902439
Johns Hopkins,U of Utah,3.666255174674718,10.939374232452609,0.06856476856476845,0.8238095238095238,0.7552447552447553
Johns Hopkins,UCLA,3.6134605229661396,9.645593655860939,-0.02619047619047621,0.8238095238095238,0.85
Johns Hopkins,UCSF,3.5757296351663217,12.347732400611163,-0.08945578231292517,0.8238095238095238,0.9132653061224489
Johns Hopkins,Wake Forest University,3.5448916369905756,9.04409237921495,0.010537918871252105,0.8238095238095238,0.8132716049382717
Other,Columbia,3.460701210221941,10.229804136430712,-0.24388119953863896,0.665,0.908881199538639
Other,Johns Hopkins,3.613750917117459,8.071085203016333,-0.2790104166666667,0.665,0.9440104166666667
Other,U of Michigan,3.3834344608628144,8.68581960066266,-0.27402439024390235,0.665,0.9390243902439024
Other,U of Utah,3.577380835428802,9.964349722870457,-0.19251748251748246,0.665,0.8575174825174825
Other,UCLA,3.4576447286476775,11.146478237118389,-0.2336111111111112,0.665,0.8986111111111112
Other,UCSF,3.526756636196253,11.225098287281037,-0.23678571428571416,0.665,0.9017857142857142
Other,Wake Forest University,3.4849479418907032,10.352061598022123,-0.15753086419753082,0.665,0.8225308641975309
U of Michigan,Columbia,3.120326672858368,8.576703448117305,0.051311995386389864,0.9625,0.9111880046136102
U of Michigan,Johns Hopkins,3.427590779155879,8.128810139637363,-0.0049479166666666075,0.9625,0.9674479166666666
U of Michigan,Other,3.383434460862814,8.68581960066266,0.03371212121212119,0.9625,0.9287878787878788
U of Michigan,U of Utah,3.3957679071676505,7.967446193783461,0.04291958041958044,0.9625,0.9195804195804196
U of Michigan,UCLA,3.199647362213414,8.715244747048017,0.0986111111111111,0.9625,0.8638888888888889
U of Michigan,UCSF,3.2919595418169685,8.364554613119907,0.059438775510204045,0.9625,0.903061224489796
U of Michigan,Wake Forest University,3.2216818323982013,8.44616540284682,0.05895061728395057,0.9625,0.9035493827160495
U of Utah,Columbia,3.592288503557764,11.62447923502254,-0.08141964628988851,0.7830555555555556,0.8644752018454441
U of Utah,Johns Hopkins,3.666255174674718,10.939374232452609,-0.046371527777777755,0.7830555555555556,0.8294270833333334
U of Utah,Other,3.577380835428802,9.964349722870457,-0.12755050505050503,0.7830555555555556,0.9106060606060606
U of Utah,U of Michigan,3.3957679071676505,7.967446193783461,-0.137501935733643,0.7830555555555556,0.9205574912891986
U of Utah,UCLA,3.5911158567646146,11.472846638681823,-0.03777777777777769,0.7830555555555556,0.8208333333333333
U of Utah,UCSF,3.603103818044295,10.395567985439016,-0.12510770975056684,0.7830555555555556,0.9081632653061225
