k,raw_rho,raw_p,partial_rho,partial_p
5,0.31998070774801535,0.006143028140042493,0.43266551826565736,0.00016435918872462356
10,0.3367879428444887,0.0038188945962557798,0.4025976295552279,0.0005001628207136033
15,0.4163611295845467,0.0002750058135061049,0.47352364997513646,3.0366053159256562e-05
20,0.3899591598356957,0.000708885967120766,0.4692318704533098,3.663312939246199e-05
30,0.3993760795680492,0.0005102366131828218,0.49778729346571454,1.0013908958266575e-05
50,0.3389803292672465,0.0035823624251684234,0.4576839961968599,5.995185087435523e-05
