plate_1,plate_2,n_1,n_2,geodesic_dist,mean_angle_deg,confound_fraction,signal_fraction,raw_shift,centroid_dist,domain_auc,variance_ratio,ext_auc_lr_fwd,ext_auc_lr_rev,int_auc_lr,auc_gap_lr,ext_auc_rf_fwd,ext_auc_rf_rev,int_auc_rf,auc_gap_rf
PL079,PL080,72,72,3.4926996560451156,60.62959804839718,0.0,1.0,9.87237698344225,9.87237698344225,1.0,1.2080639327447802,0.4305555555555555,0.3833333333333333,0.6333333333333333,0.20277777777777778,0.513888888888889,0.59375,0.6305555555555555,0.11666666666666659
PL079,PL081,72,71,3.6288875319745713,62.226704459842814,0.0,1.0,4.083998753672336,4.083998753672336,1.0,1.0300546353801876,0.5861581920903954,0.5305555555555557,0.6333333333333333,0.04717514124293787,0.5572033898305085,0.5909722222222222,0.6305555555555555,0.07335216572504699
PL079,PL082,72,72,3.687731892603898,63.81067815110522,0.0,1.0,11.919875993763327,11.919875993763327,1.0,1.3218536919179165,0.5625,0.42777777777777776,0.6333333333333333,0.0708333333333333,0.4166666666666667,0.4652777777777778,0.6305555555555555,0.21388888888888885
PL079,PL083,72,72,3.648965481285566,62.9866322273853,0.0,1.0,5.109057720293831,5.109057720293831,1.0,1.0234605357375426,0.4361111111111111,0.41666666666666663,0.6333333333333333,0.1972222222222222,0.48958333333333337,0.5472222222222223,0.6305555555555555,0.14097222222222217
PL079,PL084,72,72,3.6872329621873723,64.09517777401427,0.0,1.0,11.763953014663672,11.763953014663672,1.0,1.2190017836082292,0.5875,0.6013888888888889,0.6333333333333333,0.04583333333333328,0.5409722222222223,0.4576388888888889,0.6305555555555555,0.08958333333333324
PL079,PL085,72,71,3.7046209483401165,64.31203201434167,0.0,1.0,5.45954762718934,5.45954762718934,1.0,1.1068773964327172,0.480225988700565,0.4625,0.6333333333333333,0.15310734463276832,0.5049435028248588,0.4888888888888889,0.6305555555555555,0.12561205273069675
PL079,PL086,72,72,3.670064893877875,63.57319570566828,0.0,1.0,10.309676326958954,10.309676326958954,1.0,1.1718767846933678,0.5763888888888888,0.4097222222222222,0.6333333333333333,0.056944444444444464,0.5034722222222223,0.4159722222222222,0.6305555555555555,0.12708333333333321
PL079,PL087,72,72,3.6144493893613325,62.53644358168185,0.0,1.0,6.725497499918964,6.725497499918964,1.0,1.1456393026531906,0.7208333333333333,0.7333333333333333,0.6333333333333333,-0.08750000000000002,0.6388888888888888,0.5458333333333333,0.6305555555555555,-0.008333333333333304
PL079,PL088,72,72,3.7874226791426664,66.0696459715039,0.0,1.0,10.455066298538444,10.455066298538444,1.0,1.1595390022647516,0.4388888888888889,0.5722222222222222,0.6333333333333333,0.19444444444444442,0.6166666666666667,0.5993055555555555,0.6305555555555555,0.01388888888888884
PL079,PL089,72,72,3.673271463388618,63.69105617333056,0.0,1.0,5.11734447260761,5.11734447260761,0.9876190476190476,1.105096947125075,0.5652777777777778,0.3486111111111111,0.6333333333333333,0.06805555555555554,0.54375,0.5368055555555555,0.6305555555555555,0.08680555555555558
