from,to,geodesic,centroid_dist,auc_gap,int_auc,ext_auc
Hou_2010_Netherlands,Lu_2010_Taiwan,2.8364519212819737,755.2887914910418,0.47777777777777786,0.9777777777777779,0.5
Hou_2010_Netherlands,Sanchez_2011_Spain,2.572611911315019,698.6632105448107,0.47777777777777786,0.9777777777777779,0.5
Lu_2010_Taiwan,Hou_2010_Netherlands,2.8364519212819737,755.2887914910418,0.004356861087630448,0.9791666666666667,0.9748098055790363
Lu_2010_Taiwan,Sanchez_2011_Spain,3.0347718407750683,67.03840140068438,-0.0203502415458936,0.9791666666666667,0.9995169082125603
Sanchez_2011_Spain,Hou_2010_Netherlands,2.57261191131502,698.6632105448107,0.019442096365173245,1.0,0.9805579036348268
Sanchez_2011_Spain,Lu_2010_Taiwan,3.034771840775068,67.03840140068438,0.019166666666666554,1.0,0.9808333333333334
