from,to,geodesic,centroid_dist,auc_gap,int_auc,ext_auc
Desmedt_2007_Brussels,Hatzis_2011_Houston,2.673174273189319,7.1185993689780265,0.019503715657561815,0.9070458031996493,0.8875420875420875
Desmedt_2007_Brussels,Ivshina_2006_Singapore,2.6896379635418386,27.381082838114963,0.03584424200645164,0.9070458031996493,0.8712015611931977
Desmedt_2007_Brussels,Loi_2007_London,2.684890992131393,18.59354339758957,0.4001569143107604,0.9070458031996493,0.5068888888888889
Desmedt_2007_Brussels,Pawitan_2005_Stockholm,2.832475144392201,28.01723374964902,0.007994312684744154,0.9070458031996493,0.8990514905149052
Desmedt_2007_Brussels,Schmidt_2008_Mainz,2.6600661898391964,508.15786851917056,0.40704580319964934,0.9070458031996493,0.5
Desmedt_2007_Brussels,Wang_2005_Rotterdam,2.5952827226975086,525.2535454739201,0.40704580319964934,0.9070458031996493,0.5
Hatzis_2011_Houston,Desmedt_2007_Brussels,2.6731742731893187,7.1185993689780265,0.015345319573073168,0.9067865509163566,0.8914412313432835
Hatzis_2011_Houston,Ivshina_2006_Singapore,2.946742807299815,26.503164748591367,0.04506366270894102,0.9067865509163566,0.8617228882074156
Hatzis_2011_Houston,Loi_2007_London,2.904866502342974,18.175512445737116,0.39334210647191226,0.9067865509163566,0.5134444444444444
Hatzis_2011_Houston,Pawitan_2005_Stockholm,3.0071585119034774,27.23090418132497,-0.030431154594031895,0.9067865509163566,0.9372177055103885
Hatzis_2011_Houston,Schmidt_2008_Mainz,2.858087220754876,509.5892322315536,0.4067865509163566,0.9067865509163566,0.5
Hatzis_2011_Houston,Wang_2005_Rotterdam,2.659612582800601,526.5373205898696,0.4067865509163566,0.9067865509163566,0.5
Ivshina_2006_Singapore,Desmedt_2007_Brussels,2.6896379635418386,27.381082838114963,-0.04008742402722976,0.8730422401518748,0.9131296641791046
Ivshina_2006_Singapore,Hatzis_2011_Houston,2.9467428072998154,26.503164748591367,-0.0388572424793151,0.8730422401518748,0.9118994826311899
Ivshina_2006_Singapore,Loi_2007_London,2.6258027231681846,10.756117789804955,-0.08773553762590303,0.8730422401518748,0.9607777777777778
Ivshina_2006_Singapore,Pawitan_2005_Stockholm,2.501376145647452,3.3851091417123675,-0.07546724494297619,0.8730422401518748,0.948509485094851
Ivshina_2006_Singapore,Schmidt_2008_Mainz,2.6771388729406667,534.9391582281614,0.11345118842599167,0.8730422401518748,0.7595910517258831
Ivshina_2006_Singapore,Wang_2005_Rotterdam,2.51785957736811,551.9164013198741,-0.09731754360503797,0.8730422401518748,0.9703597837569128
Loi_2007_London,Desmedt_2007_Brussels,2.6848909921313924,18.59354339758957,0.062385986733001664,0.9527777777777778,0.8903917910447762
Loi_2007_London,Hatzis_2011_Houston,2.904866502342974,18.175512445737116,0.03342161451917558,0.9527777777777778,0.9193561632586023
Loi_2007_London,Ivshina_2006_Singapore,2.6258027231681846,10.756117789804955,0.024843570919679148,0.9527777777777778,0.9279342068580987
Loi_2007_London,Pawitan_2005_Stockholm,2.884059800124061,11.533149274895464,-0.007023486901535647,0.9527777777777778,0.9598012646793135
Loi_2007_London,Schmidt_2008_Mainz,2.7417335530045728,525.5422757219044,0.10512113236832354,0.9527777777777778,0.8476566454094543
Loi_2007_London,Wang_2005_Rotterdam,2.742931359051963,542.5752492622427,0.021441171800023584,0.9527777777777778,0.9313366059777543
